,id,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
2106,1594,12,2,8625,15,9,4,7,1,4,0,0,0,17,38
1834,1381,51,2,2770,10,15,2,9,0,4,1,0,0,54,38
1349,1012,27,2,2104,9,12,2,3,0,4,1,0,0,39,38
5834,4346,34,2,3866,2,7,2,2,0,4,1,0,0,44,38
1444,1085,18,2,7524,12,13,4,11,1,4,1,0,0,59,38
14622,10925,34,2,3360,8,10,2,9,0,4,1,0,0,39,38
8739,6540,37,1,3060,11,8,2,2,0,4,1,0,0,39,38
4443,3301,36,2,1819,11,8,2,3,0,4,1,0,0,34,38
1939,1465,18,2,7836,14,14,2,9,0,4,1,0,0,74,38
7642,5685,4,2,3012,2,7,4,5,3,4,1,0,0,31,38
3028,2268,11,2,5252,8,10,4,11,1,4,1,0,0,39,38
8065,6028,13,5,770,1,6,2,13,0,4,1,0,0,39,38
3335,2502,7,2,4881,11,8,2,7,5,4,0,0,0,24,38
16268,11521,22,2,870,2,7,3,13,1,2,1,0,0,44,38
1477,1107,8,2,4840,7,11,4,12,3,4,0,0,0,39,38
10607,7923,10,2,9108,15,9,4,7,3,4,1,0,0,39,38
13013,9709,2,2,1485,11,8,4,11,3,4,1,0,0,19,38
15581,11396,23,2,4283,9,12,3,7,1,4,0,0,0,39,38
4809,3580,5,2,1969,0,5,4,2,2,4,1,0,0,29,38
13511,10073,28,4,350,11,8,2,13,0,4,1,0,0,49,38
13370,9975,34,2,4509,7,11,2,11,0,4,1,69,0,44,38
12022,8975,28,5,1839,9,12,2,3,0,4,1,0,40,59,38
12658,9448,34,4,2883,11,8,2,3,0,4,1,0,0,44,38
13080,9756,47,3,5566,9,12,2,9,0,4,1,0,0,39,38
2380,1796,4,2,5528,15,9,4,0,2,4,0,0,0,39,25
13152,9810,14,2,8030,0,5,2,6,0,4,1,0,0,39,38
288,207,21,2,8268,11,8,0,13,1,4,1,0,0,59,38
12761,9526,46,2,6841,2,7,2,13,0,4,1,0,0,39,4
3610,2712,35,2,2608,15,9,2,3,0,4,1,0,0,44,38
2060,1558,44,2,355,2,7,3,9,1,4,1,0,0,39,38
6809,5082,36,1,6133,0,5,2,7,0,4,1,0,0,39,38
6598,4926,17,4,1177,11,8,2,11,0,4,1,0,38,59,38
16153,11496,19,2,7147,11,8,0,0,4,2,0,0,0,39,38
1949,1473,22,2,8229,9,12,0,0,1,1,0,0,0,23,29
13135,9797,25,2,5143,15,9,0,2,4,4,1,0,0,39,38
13091,9763,21,2,956,14,14,2,9,0,4,1,0,0,39,38
4898,3643,4,2,6712,15,9,4,5,3,4,1,0,0,29,38
8943,6685,26,2,5478,1,6,2,5,0,4,1,0,0,39,38
6580,4911,10,2,8352,11,8,2,13,0,4,1,0,0,49,38
9155,6840,11,2,4741,11,8,5,3,4,4,0,0,0,49,38
14068,10505,2,2,4473,11,8,4,7,3,4,0,0,0,39,38
15029,11234,9,2,2327,15,9,2,0,0,4,1,0,45,39,38
10272,7665,26,1,8224,2,7,2,13,0,4,1,0,17,39,38
296,213,5,2,7066,11,8,4,7,4,4,0,0,0,39,38
4902,3646,31,5,1197,12,13,5,9,1,4,1,0,0,59,38
1754,1317,17,1,2388,12,13,4,9,1,4,0,0,0,39,38
2863,2139,24,2,8018,7,11,2,9,0,4,1,96,0,59,38
13099,9768,20,2,8647,11,8,0,11,4,4,0,0,0,39,38
4103,3067,18,2,33,11,8,2,2,0,4,1,0,0,39,38
7784,5801,63,4,1773,1,6,2,3,0,4,1,0,0,24,38
5100,3791,24,2,6569,9,12,2,2,0,4,1,0,0,39,38
9532,7123,6,2,8512,15,9,4,5,1,4,1,0,0,39,38
6503,4850,14,2,599,11,8,2,3,0,4,1,0,0,53,38
7855,5854,9,2,6526,15,9,3,0,4,4,0,0,0,39,38
10718,8005,15,4,5198,11,8,0,11,3,4,1,0,18,61,38
13495,10066,38,0,3348,15,9,2,2,0,4,1,0,0,44,38
8684,6496,7,2,6790,4,2,4,6,2,4,0,0,0,39,25
9182,6858,17,2,6639,11,8,4,7,4,0,0,0,0,31,38
2886,2157,38,2,4613,15,9,0,12,1,4,1,0,0,39,38
13252,9886,9,2,6680,8,10,4,11,2,2,1,0,0,64,38
15035,11240,27,4,2149,0,5,4,2,3,4,1,0,0,49,38
2485,1872,48,2,7408,11,8,4,2,2,1,1,0,0,39,0
3721,2786,42,3,1862,11,8,2,11,0,4,1,0,0,59,38
11404,8503,9,2,8361,9,12,4,3,1,4,0,0,0,39,38
13610,10154,3,2,7954,15,9,4,5,2,4,1,0,0,14,38
1648,1239,52,3,2010,12,13,2,3,0,4,1,76,0,39,38
1876,1414,5,2,1123,15,9,4,5,3,4,0,0,0,12,38
3666,2748,25,0,307,9,12,2,9,0,4,1,0,0,39,38
8216,6140,41,3,8586,9,12,2,3,0,4,1,0,0,44,38
8181,6110,13,2,312,11,8,4,13,4,4,0,0,25,68,38
13937,10409,15,2,2228,9,12,4,13,1,4,1,0,0,39,38
9168,6849,39,2,7755,6,4,6,11,4,4,0,0,0,39,38
8461,6325,16,2,9041,9,12,2,0,5,2,0,0,0,29,38
8765,6561,17,2,3744,15,9,0,7,4,4,0,0,0,39,38
10215,7622,25,2,2653,12,13,2,3,0,4,1,0,0,39,38
15860,11446,31,2,4111,9,12,2,0,0,4,1,0,0,44,38
2083,1575,38,2,61,15,9,0,9,1,4,0,0,0,39,38
6349,4736,47,2,2911,11,8,2,3,0,4,1,0,0,4,38
4182,3123,28,2,7235,9,12,2,3,0,4,1,0,0,69,1
8169,6102,26,5,2677,11,8,2,10,0,4,1,0,0,39,38
2180,1652,4,2,5344,0,5,2,4,0,4,1,0,0,68,38
10578,7900,34,2,6251,11,8,2,11,0,4,1,0,43,44,38
1709,1285,5,2,1078,15,9,4,2,3,4,0,0,0,34,38
15108,11290,19,2,4865,15,9,0,0,1,4,1,0,0,44,38
2946,2201,44,2,4334,1,6,0,7,4,4,0,0,0,35,38
13263,9893,25,2,1964,15,9,0,7,4,4,0,0,0,31,38
4563,3388,29,2,2903,11,8,2,11,0,4,1,0,0,44,38
8111,6062,34,0,1947,7,11,2,12,0,2,1,0,0,39,38
15043,11245,44,4,49,11,8,6,7,2,4,0,0,0,39,38
12965,9671,21,2,5381,15,9,0,3,3,2,0,0,0,39,38
7799,5812,12,2,8053,11,8,4,13,4,4,1,0,0,54,38
13418,10011,3,2,2872,11,8,4,0,1,4,0,0,0,39,38
16918,11635,7,5,9488,15,9,4,0,3,1,1,0,0,39,38
5089,3783,30,2,5760,15,9,2,9,0,4,1,0,0,39,38
7726,5757,6,2,3922,11,8,4,13,3,4,1,0,0,39,38
9965,7450,9,2,3486,11,8,2,11,0,4,1,0,0,49,38
9627,7200,12,2,3971,11,8,2,13,0,4,1,0,0,39,38
8223,6146,17,2,5711,11,8,4,0,1,4,0,0,0,39,38
16488,11561,1,2,6068,15,9,4,11,3,4,1,0,0,24,38
9698,7260,16,2,2165,15,9,2,2,0,4,1,0,0,57,38
299,216,7,2,9527,11,8,2,3,0,4,1,0,0,49,38
8490,6345,30,0,6668,11,8,2,13,0,2,1,0,0,39,38
8253,6170,27,3,6803,15,9,2,3,0,4,1,0,0,49,38
14418,10762,28,2,6247,11,8,2,2,0,4,1,0,0,39,38
6945,5184,25,4,761,11,8,0,3,4,4,1,0,0,54,38
7883,5877,37,2,4449,15,9,4,3,1,4,1,0,0,39,38
2205,1668,35,2,3510,15,9,0,0,4,4,0,0,0,34,38
3075,2307,20,2,3667,8,10,0,9,4,4,0,0,0,39,38
2807,2101,11,2,32,11,8,4,13,4,4,1,0,0,54,38
3412,2555,9,2,803,11,8,4,0,4,2,0,0,0,29,38
9565,7151,12,2,7884,9,12,2,11,0,4,1,0,0,39,38
8375,6257,14,2,7495,11,8,2,2,0,4,1,0,0,39,38
15773,11427,20,0,2804,10,15,2,9,0,4,1,0,0,69,38
1325,997,18,0,7317,11,8,2,0,0,2,1,0,0,59,38
6825,5095,22,2,4580,15,9,2,4,0,4,1,0,0,49,38
1187,896,22,2,8730,9,12,2,0,0,4,1,0,0,44,38
13432,10018,13,2,7874,15,9,4,11,1,4,0,0,0,47,38
10058,7512,11,1,2669,15,9,4,0,2,2,1,0,0,39,13
13168,9820,58,4,6332,11,8,2,4,0,4,1,0,0,19,38
12497,9329,27,2,6398,11,8,0,13,1,2,1,0,0,19,13
5306,3949,12,2,7412,5,3,4,5,3,4,1,0,0,29,25
3378,2533,23,2,4333,11,8,0,13,1,4,1,0,0,39,38
12385,9244,27,2,7908,5,3,2,2,0,4,1,0,0,39,38
8738,6539,28,2,6467,15,9,2,5,0,4,1,0,0,39,10
4006,2997,3,2,9469,11,8,4,11,2,2,0,0,0,34,38
14332,10697,49,2,7006,13,0,6,8,2,4,0,0,0,39,12
2316,1751,42,5,1914,11,8,4,0,3,4,1,0,0,39,38
1948,1472,12,2,2006,15,9,4,9,1,4,1,0,0,14,38
6997,5219,12,2,9083,15,9,0,7,1,4,0,0,0,34,38
7691,5727,27,5,4486,11,8,2,9,5,4,0,0,0,39,38
15797,11433,10,2,7673,9,12,2,11,0,4,1,0,0,24,38
8636,6456,21,1,2358,11,8,2,0,5,4,0,0,0,34,38
7707,5741,25,2,449,8,10,2,7,0,4,1,0,0,44,38
6719,5014,38,3,7482,0,5,6,13,1,4,1,0,0,39,38
2167,1641,27,2,1124,15,9,2,2,0,4,1,69,0,49,38
2259,1706,12,2,8330,11,8,3,2,1,4,1,0,0,39,38
260,183,52,2,4026,11,8,6,6,4,4,1,32,0,39,38
12912,9637,13,2,3102,8,10,4,0,2,1,1,31,0,39,39
4290,3205,4,2,4286,11,8,4,4,2,4,1,0,0,49,38
11462,8553,23,2,3046,11,8,2,13,0,1,1,0,0,59,37
15380,11363,28,2,3597,11,8,2,0,0,4,1,0,0,39,38
4087,3055,19,2,862,4,2,4,7,1,4,1,0,0,34,38
12583,9397,16,2,3260,9,12,4,9,1,4,0,0,0,39,38
14131,10553,8,2,5908,9,12,2,9,0,4,1,0,0,39,38
15053,11252,39,3,1059,12,13,0,3,1,4,1,101,0,59,38
14970,11189,19,2,3475,11,8,2,3,5,4,0,0,0,39,38
14682,10972,32,2,4279,11,8,0,6,2,4,0,0,0,54,38
1566,1176,25,4,1785,5,3,2,11,0,4,1,0,0,29,38
3124,2341,24,2,5999,8,10,2,11,0,4,1,0,0,39,38
4114,3076,4,2,6770,11,8,4,6,4,4,0,0,0,39,38
1200,907,24,1,8839,15,9,0,10,4,4,0,0,0,39,38
1658,1247,14,1,1299,15,9,4,0,1,2,0,0,0,39,38
11827,8826,14,2,6097,0,5,2,6,0,4,1,0,0,39,38
11984,8947,3,2,8183,15,9,4,11,3,1,1,0,0,29,29
13320,9938,27,1,7125,8,10,2,13,0,4,1,60,0,39,38
5261,3912,8,2,5291,15,9,4,6,3,2,1,0,0,39,38
1376,1031,34,5,6732,11,8,4,13,1,4,1,0,0,39,38
6938,5179,42,2,4889,11,8,2,3,0,4,1,0,0,29,38
13589,10134,13,2,6084,11,8,2,13,0,4,1,0,0,70,38
198,140,45,5,7596,9,12,0,9,1,4,1,0,0,39,38
9019,6745,20,2,5173,15,9,2,2,0,4,1,0,0,39,38
8380,6260,2,5,3460,15,9,4,4,3,4,1,0,0,11,38
4791,3567,41,1,1640,11,8,2,3,0,4,1,0,0,49,38
3093,2322,37,2,489,8,10,2,13,0,4,1,0,0,19,38
10441,7791,33,2,48,15,9,2,3,0,4,1,0,0,77,38
5480,4082,27,1,854,9,12,0,9,4,4,1,0,0,44,38
11828,8827,22,2,6669,9,12,2,3,0,4,1,0,0,59,38
9509,7107,34,2,8698,11,8,2,11,0,4,1,83,0,39,38
12875,9611,25,2,6275,12,13,4,3,1,4,1,0,0,44,38
9285,6931,10,2,4129,11,8,3,4,3,4,0,0,0,39,25
12323,9197,33,4,7104,9,12,0,9,1,4,0,0,0,59,38
4661,3466,11,2,7691,0,5,0,11,1,4,0,0,0,39,38
12420,9274,18,2,7894,15,9,2,11,0,4,1,0,0,39,38
1366,1023,12,2,6029,7,11,0,9,1,4,0,0,0,35,38
4754,3536,51,2,2381,9,12,2,3,0,4,1,98,0,44,38
2877,2150,33,2,9186,14,14,2,9,0,4,1,0,0,35,38
5413,4033,23,5,2489,9,12,4,9,4,4,0,0,0,19,38
4021,3007,39,3,1138,14,14,2,9,0,4,1,0,0,31,38
17427,11720,14,2,5301,11,8,4,7,2,2,0,0,0,39,38
6638,4958,33,2,5177,12,13,0,3,1,4,1,0,0,61,38
1816,1368,4,2,7321,15,9,4,0,2,4,1,0,0,29,26
14716,10998,7,2,7498,9,12,2,9,0,4,1,68,0,29,38
11446,8539,4,2,1084,11,8,4,7,3,4,1,0,0,39,38
10540,7868,6,2,2497,9,12,4,9,3,4,1,0,0,49,38
9690,7253,7,2,3891,9,12,4,9,1,4,1,0,0,24,38
6115,4563,17,2,6475,11,8,0,2,4,4,1,0,0,43,38
7709,5743,21,2,3627,11,8,2,2,0,4,1,0,0,39,38
3739,2801,22,2,6015,10,15,2,9,0,4,1,0,0,49,38
5767,4297,39,2,4880,11,8,2,6,0,4,1,0,0,39,38
4843,3608,17,2,1746,8,10,4,9,4,4,0,0,0,39,10
6416,4782,13,2,2170,11,8,2,6,0,4,1,0,0,59,20
8958,6699,3,2,4588,2,7,4,0,3,4,0,0,0,39,25
11241,8389,9,2,6361,1,6,4,6,4,4,1,75,0,47,38
14982,11197,1,2,3166,15,9,4,7,1,4,0,0,0,39,38
13680,10208,16,2,2474,15,9,6,0,4,4,0,0,0,39,38
2896,2166,3,2,6073,11,8,4,0,3,4,0,0,0,19,38
13884,10365,1,2,836,15,9,0,7,3,4,1,0,0,14,38
14946,11171,35,2,4575,11,8,2,6,0,2,1,0,0,47,38
4568,3393,28,0,5859,15,9,2,9,0,4,1,0,0,55,38
13199,9842,32,2,7653,9,12,2,11,0,4,1,0,0,25,38
13442,10026,13,2,2550,15,9,0,11,3,4,1,0,0,39,38
6746,5031,27,2,6314,14,14,0,9,1,4,1,0,0,54,38
11158,8321,11,1,6288,11,8,2,10,0,4,1,0,0,39,38
8511,6362,5,2,5372,9,12,4,11,3,1,1,0,0,49,35
2852,2132,43,2,4522,11,8,6,6,4,4,0,0,0,39,38
7393,5514,38,2,7499,5,3,2,13,0,4,1,0,0,49,38
440,324,24,5,8098,15,9,2,0,5,4,0,43,0,39,38
7253,5408,18,1,6857,11,8,2,13,0,4,1,0,0,44,38
14076,10512,13,2,8417,10,15,2,9,0,1,1,0,40,39,2
1195,903,16,2,4888,11,8,0,7,4,2,1,0,0,39,38
5044,3757,11,1,6795,8,10,2,9,5,4,0,83,0,35,38
3894,2916,36,2,5816,7,11,2,11,0,4,1,0,0,74,38
8392,6272,10,2,2582,11,8,2,2,0,4,1,0,0,47,38
11639,8687,3,2,4306,15,9,4,0,3,4,0,0,0,14,38
7239,5400,24,0,5432,9,12,2,0,0,4,1,0,0,39,38
6544,4883,3,2,8963,15,9,4,0,3,4,0,0,0,34,38
1942,1467,4,2,7012,15,9,4,7,3,4,0,0,0,24,38
11528,8605,20,2,8722,9,12,5,12,1,1,1,0,0,39,29
15782,11429,33,2,5617,12,13,3,9,2,4,1,0,0,59,38
4248,3175,13,2,386,1,6,2,5,0,4,1,0,0,49,38
10202,7611,4,2,5778,15,9,4,0,1,4,0,0,0,39,38
14614,10917,17,2,8704,2,7,4,0,4,4,0,0,0,39,38
8898,6654,8,5,7451,15,9,2,0,0,2,1,0,0,37,38
13390,9991,31,2,4614,11,8,2,2,0,4,1,0,0,54,38
15345,11359,49,3,3507,6,4,2,3,0,4,1,10,0,0,38
11783,8795,7,2,4763,12,13,4,3,3,4,1,79,0,80,38
9688,7251,30,2,730,15,9,2,6,0,4,1,0,0,45,38
3463,2596,43,4,6990,5,3,2,4,0,4,1,0,0,39,38
3458,2592,28,3,4310,11,8,2,3,0,4,1,96,0,54,38
6597,4925,36,2,7621,8,10,2,3,0,4,1,0,0,39,38
4929,3665,28,2,3412,8,10,2,2,0,4,1,96,0,39,38
13932,10404,23,2,7936,8,10,2,4,0,4,1,0,0,59,38
17298,11700,29,2,6322,9,12,2,9,0,4,1,0,0,39,38
14559,10872,21,2,8430,11,8,0,2,3,4,1,0,0,39,38
885,661,5,2,2629,15,9,4,5,1,4,0,0,0,29,38
10896,8139,10,2,6783,9,12,2,2,0,4,1,0,0,44,38
4116,3078,19,2,8628,15,9,2,2,0,4,1,0,37,39,38
5281,3926,27,3,9396,15,9,0,11,3,4,1,0,0,44,38
6488,4836,16,2,4898,9,12,2,3,0,4,1,0,0,39,38
8231,6151,7,2,5822,15,9,4,2,1,4,1,0,0,39,38
8305,6206,17,2,6860,11,8,2,6,0,2,1,0,0,39,38
12533,9359,6,2,2914,15,9,4,0,3,4,1,0,0,14,38
9801,7329,0,2,3338,0,5,4,7,3,4,0,0,0,9,38
8547,6388,10,2,5765,9,12,4,10,3,4,0,0,0,39,38
8878,6640,19,2,2018,11,8,2,7,0,4,1,0,0,49,38
10462,7810,5,2,5379,11,8,4,11,2,4,1,0,0,39,38
13115,9783,10,2,5611,15,9,2,2,0,4,1,0,0,59,38
2893,2163,28,2,1657,11,8,4,6,4,4,0,0,0,39,1
6273,4686,32,1,1655,11,8,2,2,0,4,1,0,0,39,38
13324,9942,20,2,7503,12,13,2,3,0,4,1,0,0,49,38
3628,2725,51,4,8421,1,6,4,4,4,4,1,0,0,19,38
12475,9313,29,2,4537,14,14,0,9,4,4,0,0,0,39,38
5327,3965,6,2,4159,0,5,2,6,3,1,0,0,0,39,39
7374,5499,43,1,6897,11,8,2,7,0,4,1,0,0,39,38
7563,5629,22,2,8999,11,8,5,6,1,2,1,0,0,39,38
3614,2715,20,2,1461,9,12,2,3,0,4,1,0,0,59,38
14128,10551,41,2,7591,9,12,2,3,0,4,1,0,0,49,38
6317,4716,28,1,5239,12,13,2,9,0,4,1,0,0,49,38
314,227,27,3,661,15,9,0,7,4,4,1,0,0,74,38
5427,4045,26,2,6734,11,8,2,11,0,4,1,0,0,74,38
5520,4113,31,2,4576,1,6,0,7,4,2,0,0,0,39,38
11792,8801,6,2,6393,11,8,4,6,1,4,1,0,0,39,38
11499,8578,13,2,8149,12,13,4,9,1,2,1,0,0,29,38
8335,6226,59,2,2728,5,3,6,8,1,4,0,0,0,39,38
10399,7758,16,4,329,11,8,4,7,1,4,0,0,0,34,38
9804,7331,10,2,6371,11,8,4,11,3,2,1,0,0,59,38
2317,1752,34,2,3024,11,8,2,6,0,4,1,0,0,39,38
10406,7762,16,2,4699,15,9,4,0,1,4,1,0,0,48,38
9979,7462,5,2,8843,15,9,4,9,4,4,0,0,0,19,38
5960,4443,9,2,6411,11,8,5,3,3,4,0,0,0,39,38
12654,9445,23,2,8972,11,8,0,2,1,4,1,0,0,39,38
1431,1076,27,2,5214,9,12,2,0,0,4,1,0,0,44,38
11119,8292,20,2,5520,11,8,0,2,1,4,1,0,0,49,38
13457,10038,24,2,7016,3,1,2,6,0,4,1,0,0,39,25
5109,3798,12,2,4855,9,12,4,11,1,4,1,0,0,39,38
4450,3308,26,1,1575,15,9,2,10,0,4,1,0,37,39,38
1197,905,46,2,1938,11,8,2,2,0,4,1,0,0,39,38
8865,6631,18,2,1677,9,12,4,11,1,4,1,0,0,49,38
1054,789,29,2,8589,9,12,2,3,0,4,1,96,0,44,38
2025,1531,16,2,3419,15,9,2,2,0,4,1,0,0,39,38
8466,6329,30,0,6811,11,8,3,0,1,2,0,0,0,39,32
13089,9762,29,2,3899,0,5,4,6,1,2,1,0,0,39,38
237,168,10,2,6460,15,9,0,9,3,4,0,0,0,39,38
14371,10727,4,2,8007,11,8,4,7,3,4,1,0,0,34,38
4357,3252,12,2,1253,11,8,2,11,0,4,1,0,37,54,38
7081,5280,15,2,6958,8,10,0,9,1,4,1,0,0,39,38
7242,5402,11,2,3072,7,11,4,7,1,3,1,0,0,39,38
13473,10048,23,2,8551,15,9,0,13,4,4,1,0,0,39,38
4310,3220,34,2,4112,11,8,2,6,0,4,1,0,0,39,38
14223,10622,24,4,5656,9,12,2,4,0,4,1,0,0,72,38
6052,4516,35,2,6821,14,14,2,9,5,4,0,43,0,29,38
10494,7836,57,3,3934,15,9,6,3,4,4,1,0,0,39,38
17189,11681,6,2,7019,9,12,4,9,1,4,1,0,0,39,38
10600,7918,38,2,246,12,13,2,3,0,4,1,0,40,39,38
5505,4101,35,2,3265,9,12,2,9,0,4,1,0,38,39,38
16809,11616,17,2,5733,1,6,2,11,0,4,1,0,0,24,38
8721,6524,13,2,9173,11,8,1,0,0,4,1,0,0,59,38
13190,9834,15,2,7433,11,8,2,2,0,4,1,0,0,39,38
6086,4544,26,2,6579,12,13,4,7,1,4,0,0,0,29,30
2378,1794,10,2,444,15,9,2,4,0,4,1,0,0,74,38
5351,3984,13,2,4862,15,9,4,11,1,2,0,0,0,34,38
6520,4864,13,2,3403,8,10,0,0,1,4,0,0,0,45,38
1794,1349,5,2,6289,9,12,4,0,3,4,0,0,0,39,38
10188,7604,7,2,2664,11,8,4,11,1,4,1,0,0,37,38
3638,2732,39,2,1660,5,3,2,6,5,4,0,68,0,44,38
5051,3761,17,2,8504,15,9,4,0,3,4,1,0,0,39,38
714,532,26,3,2378,9,12,2,11,0,4,1,96,0,59,38
7260,5413,36,2,9025,11,8,2,13,0,2,1,0,0,59,38
9531,7122,38,2,1922,11,8,2,5,0,4,1,43,0,39,38
10109,7548,46,2,7234,11,8,2,5,0,4,1,0,0,39,38
13406,10002,9,2,5981,15,9,4,11,1,2,0,0,0,36,38
5819,4334,34,2,9240,12,13,2,2,0,4,1,0,0,39,38
1740,1306,22,4,2085,14,14,2,9,0,4,1,96,0,49,38
5694,4240,26,2,7101,11,8,2,5,0,4,1,0,0,39,38
7201,5373,53,1,8635,11,8,6,0,1,4,0,0,0,11,38
6816,5088,22,2,4633,11,8,2,6,0,4,1,0,0,44,38
9919,7416,10,2,562,9,12,4,0,1,4,0,0,0,39,38
6439,4801,19,2,3118,11,8,4,0,1,2,0,0,0,39,38
8374,6256,18,4,5221,11,8,0,4,3,4,1,0,0,49,38
932,698,28,2,3683,11,8,2,2,0,4,1,0,0,39,38
